,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
20,2020-02-11,-337.76962821835707,-14748.658583134338,11228.817147594369,-337.76962821835707,-337.76962821835707,-949.2793479606016,-949.2793479606016,-949.2793479606016,-949.2793479606016,-949.2793479606016,-949.2793479606016,0.0,0.0,0.0,-1287.0489761789586
21,2020-02-12,-320.7870240433571,-15673.893459843273,12452.09113713159,-320.7870240433571,-320.7870240433571,-986.0768442764846,-986.0768442764846,-986.0768442764846,-986.0768442764846,-986.0768442764846,-986.0768442764846,0.0,0.0,0.0,-1306.8638683198417
22,2020-02-13,-303.8044198683573,-14028.280434210239,13966.492476895357,-303.8044198683573,-303.8044198683573,-93.46433074510884,-93.46433074510884,-93.46433074510884,-93.46433074510884,-93.46433074510884,-93.46433074510884,0.0,0.0,0.0,-397.2687506134661
23,2020-02-14,-286.8218156933573,-13274.509585727536,13838.523199164014,-286.8218156933573,-286.8218156933573,397.7322624245407,397.7322624245407,397.7322624245407,397.7322624245407,397.7322624245407,397.7322624245407,0.0,0.0,0.0,110.91044673118341
24,2020-02-15,-269.83925414261466,-14115.468270614992,15065.111130775957,-269.83925414261466,-269.83925414261466,1216.5272895240694,1216.5272895240694,1216.5272895240694,1216.5272895240694,1216.5272895240694,1216.5272895240694,0.0,0.0,0.0,946.6880353814547
25,2020-02-16,-252.85669259187193,-12556.174215380777,15428.386313112054,-252.85669259187193,-252.85669259187193,1325.3559511843357,1325.3559511843357,1325.3559511843357,1325.3559511843357,1325.3559511843357,1325.3559511843357,0.0,0.0,0.0,1072.4992585924638
26,2020-02-17,-235.87413104112923,-15605.492314366662,12726.22639038326,-235.87413104112923,-235.87413104112923,-910.7949801531648,-910.7949801531648,-910.7949801531648,-910.7949801531648,-910.7949801531648,-910.7949801531648,0.0,0.0,0.0,-1146.6691111942941
27,2020-02-18,-218.8915694903866,-15330.722004091202,11813.065929148435,-218.8915694903866,-218.8915694903866,-949.2793479600476,-949.2793479600476,-949.2793479600476,-949.2793479600476,-949.2793479600476,-949.2793479600476,0.0,0.0,0.0,-1168.1709174504342
28,2020-02-19,-201.90900793964389,-15338.587488728681,12114.634356171242,-201.90900793964389,-201.90900793964389,-986.0768442740598,-986.0768442740598,-986.0768442740598,-986.0768442740598,-986.0768442740598,-986.0768442740598,0.0,0.0,0.0,-1187.9858522137038
29,2020-02-20,-184.92644638890133,-14927.26400520364,13361.11371354169,-184.92644638890133,-184.92644638890133,-93.46433074534292,-93.46433074534292,-93.46433074534292,-93.46433074534292,-93.46433074534292,-93.46433074534292,0.0,0.0,0.0,-278.3907771342442
30,2020-02-21,-167.94385618389285,-13312.3065613949,14942.00714651189,-167.94385618389285,-167.94385618389285,397.732262425823,397.732262425823,397.732262425823,397.732262425823,397.732262425823,397.732262425823,0.0,0.0,0.0,229.78840624193018
31,2020-02-22,-150.9612659788843,-12217.579382055985,15439.148892753668,-150.9612659788843,-150.9612659788843,1216.527289521514,1216.527289521514,1216.527289521514,1216.527289521514,1216.527289521514,1216.527289521514,0.0,0.0,0.0,1065.5660235426296
32,2020-02-23,-133.97867577387592,-12331.053200859817,14689.649226013604,-133.97867577387592,-133.97867577387592,1325.3559511852907,1325.3559511852907,1325.3559511852907,1325.3559511852907,1325.3559511852907,1325.3559511852907,0.0,0.0,0.0,1191.3772754114148
33,2020-02-24,-116.99608556886744,-13767.49708753719,12219.644924594299,-116.99608556886744,-116.99608556886744,-910.7949801538659,-910.7949801538659,-910.7949801538659,-910.7949801538659,-910.7949801538659,-910.7949801538659,0.0,0.0,0.0,-1027.7910657227335
34,2020-02-25,-100.01349536385896,-15683.757906962273,12205.013332082075,-100.01349536385896,-100.01349536385896,-949.279347960651,-949.279347960651,-949.279347960651,-949.279347960651,-949.279347960651,-949.279347960651,0.0,0.0,0.0,-1049.29284332451
35,2020-02-26,-83.03089720998338,-15650.112266054926,12564.984725082775,-83.03089720998338,-83.03089720998338,-986.0768442747856,-986.0768442747856,-986.0768442747856,-986.0768442747856,-986.0768442747856,-986.0768442747856,0.0,0.0,0.0,-1069.107741484769
36,2020-02-27,-66.04829905610772,-14947.886223866859,12172.609317695826,-66.04829905610772,-66.04829905610772,-93.46433074486131,-93.46433074486131,-93.46433074486131,-93.46433074486131,-93.46433074486131,-93.46433074486131,0.0,0.0,0.0,-159.51262980096902
37,2020-02-28,-49.065700902232145,-12538.363144607662,13962.100446702943,-49.065700902232145,-49.065700902232145,397.73226242710547,397.73226242710547,397.73226242710547,397.73226242710547,397.73226242710547,397.73226242710547,0.0,0.0,0.0,348.6665615248733
38,2020-02-29,-32.083102748356566,-12681.052884038005,14146.762539396843,-32.083102748356566,-32.083102748356566,1216.5272895236976,1216.5272895236976,1216.5272895236976,1216.5272895236976,1216.5272895236976,1216.5272895236976,0.0,0.0,0.0,1184.444186775341
39,2020-03-01,-15.100504594480906,-13324.787739844183,14421.195736137213,-15.100504594480906,-15.100504594480906,1325.3559511883109,1325.3559511883109,1325.3559511883109,1325.3559511883109,1325.3559511883109,1325.3559511883109,0.0,0.0,0.0,1310.25544659383
40,2020-03-02,1.8820935593946757,-14888.507699364473,12607.704311095833,1.8820935593946757,1.8820935593946757,-910.7949801550998,-910.7949801550998,-910.7949801550998,-910.7949801550998,-910.7949801550998,-910.7949801550998,0.0,0.0,0.0,-908.9128865957051
41,2020-03-03,18.86470757276865,-14373.321384425382,13453.383011770151,18.86470757276865,18.86470757276865,-949.279347960097,-949.279347960097,-949.279347960097,-949.279347960097,-949.279347960097,-949.279347960097,0.0,0.0,0.0,-930.4146403873283
42,2020-03-04,35.847321586142556,-16422.12029199835,13690.45008856439,35.847321586142556,35.847321586142556,-986.0768442766395,-986.0768442766395,-986.0768442766395,-986.0768442766395,-986.0768442766395,-986.0768442766395,0.0,0.0,0.0,-950.2295226904969
43,2020-03-05,52.82993559951645,-14350.797536961647,14221.041957726991,52.829935599516446,52.829935599516446,-93.46433074735548,-93.46433074735548,-93.46433074735548,-93.46433074735548,-93.46433074735548,-93.46433074735548,0.0,0.0,0.0,-40.63439514783902
44,2020-03-06,69.81254961289035,-13594.086524149558,14054.629591573015,69.81254961289035,69.81254961289035,397.73226242589067,397.73226242589067,397.73226242589067,397.73226242589067,397.73226242589067,397.73226242589067,0.0,0.0,0.0,467.544812038781
45,2020-03-07,86.79516362626441,-12299.52750137594,16454.31764986974,86.79516362626441,86.79516362626441,1216.5272895214018,1216.5272895214018,1216.5272895214018,1216.5272895214018,1216.5272895214018,1216.5272895214018,0.0,0.0,0.0,1303.3224531476662
46,2020-03-08,103.7777776396383,-12090.235054271472,15245.532049244812,103.7777776396383,103.7777776396383,1325.355951186189,1325.355951186189,1325.355951186189,1325.355951186189,1325.355951186189,1325.355951186189,0.0,0.0,0.0,1429.1337288258273
47,2020-03-09,120.7603983110732,-15136.84019324668,11997.616239200626,120.7603983110732,120.7603983110732,-910.7949801502066,-910.7949801502066,-910.7949801502066,-910.7949801502066,-910.7949801502066,-910.7949801502066,0.0,0.0,0.0,-790.0345818391334
48,2020-03-10,137.74301898250795,-15324.968016172304,13019.243810826718,137.74301898250795,137.74301898250795,-949.2793479601216,-949.2793479601216,-949.2793479601216,-949.2793479601216,-949.2793479601216,-949.2793479601216,0.0,0.0,0.0,-811.5363289776137
49,2020-03-11,154.7256396539427,-15519.981219173249,12649.172480096231,154.7256396539427,154.7256396539427,-986.0768442757901,-986.0768442757901,-986.0768442757901,-986.0768442757901,-986.0768442757901,-986.0768442757901,0.0,0.0,0.0,-831.3512046218474
50,2020-03-12,171.70826032537744,-14729.374615570197,13832.43673928541,171.70826032537744,171.70826032537744,-93.46433074532945,-93.46433074532945,-93.46433074532945,-93.46433074532945,-93.46433074532945,-93.46433074532945,0.0,0.0,0.0,78.24392958004799
51,2020-03-13,188.69088099681233,-13975.576913200886,13643.083641114383,188.69088099681233,188.69088099681233,397.7322624296702,397.7322624296702,397.7322624296702,397.7322624296702,397.7322624296702,397.7322624296702,0.0,0.0,0.0,586.4231434264825
52,2020-03-14,205.67480516414344,-12609.064018445368,14731.727469316525,205.67480516414344,205.67480516414344,1216.5272895235858,1216.5272895235858,1216.5272895235858,1216.5272895235858,1216.5272895235858,1216.5272895235858,0.0,0.0,0.0,1422.2020946877292
53,2020-03-15,222.65872933147423,-13488.873821767556,15630.926323050959,222.65872933147423,222.65872933147423,1325.3559511856054,1325.3559511856054,1325.3559511856054,1325.3559511856054,1325.3559511856054,1325.3559511856054,0.0,0.0,0.0,1548.0146805170796
