,ds,trend
77,2020-04-08,1508850.496088789
78,2020-04-09,1589124.8951501502
79,2020-04-10,1669399.294211511
80,2020-04-11,1749673.6932728728
81,2020-04-12,1830046.4263225587
82,2020-04-13,1910419.1593722436
83,2020-04-14,1990791.8924219292
84,2020-04-15,2071164.6254716143
85,2020-04-16,2151537.358521299
86,2020-04-17,2231910.091570984
87,2020-04-18,2312282.8515665075
88,2020-04-19,2392655.6115620304
89,2020-04-20,2473028.3715575538
90,2020-04-21,2553401.1315530785
91,2020-04-22,2633773.8915486005
92,2020-04-23,2714146.6515441258
93,2020-04-24,2794522.435380935
94,2020-04-25,2874898.2192177474
95,2020-04-26,2955274.00305456
96,2020-04-27,3035649.7868913715
97,2020-04-28,3116025.5707281823
98,2020-04-29,3196739.049267766
99,2020-04-30,3277452.5278073493
100,2020-05-01,3358166.006346933
101,2020-05-02,3438879.4848865164
102,2020-05-03,3519592.963426098
103,2020-05-04,3600306.4419656815
104,2020-05-05,3681385.801036426
105,2020-05-06,3762465.1601071684
106,2020-05-07,3843544.5191779127
107,2020-05-08,3924623.8782486552
108,2020-05-09,4005703.2373193996
109,2020-05-10,4086782.596390142
110,2020-05-11,4174269.9001894486
111,2020-05-12,4261757.203988753
112,2020-05-13,4349244.50778806
113,2020-05-14,4436731.811587365
114,2020-05-15,4524219.115386672
115,2020-05-16,4620949.308852821
116,2020-05-17,4717679.502318966
117,2020-05-18,4814409.695785115
118,2020-05-19,4911139.889251259
119,2020-05-20,5007870.0827174075
120,2020-05-21,5104600.276183553
121,2020-05-22,5210147.849066429
122,2020-05-23,5315695.421949305
123,2020-05-24,5421242.99483218
124,2020-05-25,5526790.567715058
125,2020-05-26,5632338.140597932
126,2020-05-27,5737885.71348081
127,2020-05-28,5843582.5415046485
128,2020-05-29,5949279.369528489
129,2020-05-30,6054976.197552328
130,2020-05-31,6160673.025576169
131,2020-06-01,6266369.853600008
132,2020-06-02,6372066.681623849
133,2020-06-03,6477763.506167125
134,2020-06-04,6583460.330710401
135,2020-06-05,6689157.155253677
136,2020-06-06,6794853.979796953
137,2020-06-07,6900550.80434023
138,2020-06-08,7005883.607983668
139,2020-06-09,7111216.411627107
140,2020-06-10,7216549.215270547
141,2020-06-11,7321882.018913986
142,2020-06-12,7427214.822557426
143,2020-06-13,7532547.62620086
144,2020-06-14,7716961.46424799
145,2020-06-15,7901375.302295118
146,2020-06-16,8085789.140342248
