,ds,trend
73,2020-04-04,3987.632209073722
74,2020-04-05,4495.66305109893
75,2020-04-06,5196.506578372253
76,2020-04-07,5897.350105645577
77,2020-04-08,6598.1936329189
78,2020-04-09,7299.037160192216
79,2020-04-10,7999.88068746554
80,2020-04-11,8700.724214738855
81,2020-04-12,9649.87462344761
82,2020-04-13,10599.02503215633
83,2020-04-14,11548.175440865069
84,2020-04-15,12497.325849573806
85,2020-04-16,13446.476258282544
86,2020-04-17,14395.626666991267
87,2020-04-18,15974.664442695612
88,2020-04-19,17553.70221839994
89,2020-04-20,19132.739994104253
90,2020-04-21,20711.77776980863
91,2020-04-22,22290.815545512938
92,2020-04-23,23869.853321217284
93,2020-04-24,25557.878703569895
94,2020-04-25,27245.90408592257
95,2020-04-26,28933.929468275215
96,2020-04-27,30621.95485062786
97,2020-04-28,32309.980232980484
98,2020-04-29,34356.26897837506
99,2020-04-30,36402.55772376967
100,2020-05-01,38448.84646916425
101,2020-05-02,40495.13521455886
102,2020-05-03,42541.42395995341
103,2020-05-04,44587.71270534802
104,2020-05-05,47513.791139324654
105,2020-05-06,50439.86957330123
106,2020-05-07,53365.94800727786
107,2020-05-08,56292.02644125438
108,2020-05-09,59218.10487523101
109,2020-05-10,62144.18330920758
110,2020-05-11,66856.57133311915
111,2020-05-12,71568.9593570306
112,2020-05-13,76281.34738094217
113,2020-05-14,80993.73540485368
114,2020-05-15,85706.12342876519
115,2020-05-16,91678.59085114917
116,2020-05-17,97651.05827353291
117,2020-05-18,103623.52569591677
118,2020-05-19,109595.99311830063
119,2020-05-20,115568.4605406845
120,2020-05-21,121540.92796306836
121,2020-05-22,128378.42265145168
122,2020-05-23,135215.91733983488
123,2020-05-24,142053.4120282182
124,2020-05-25,148890.90671660143
125,2020-05-26,155728.40140498462
126,2020-05-27,162565.89609336795
127,2020-05-28,169406.13938660015
128,2020-05-29,176246.38267983246
129,2020-05-30,183086.6259730645
130,2020-05-31,189926.86926629682
131,2020-06-01,196767.11255952888
132,2020-06-02,203607.35585276107
133,2020-06-03,210465.73276869877
134,2020-06-04,217324.10968463623
135,2020-06-05,224182.48660057381
136,2020-06-06,231040.8635165114
137,2020-06-07,237899.24043244883
138,2020-06-08,244757.62675684216
139,2020-06-09,251616.01308123546
140,2020-06-10,258474.39940562868
141,2020-06-11,265332.785730022
142,2020-06-12,272191.1720544154
143,2020-06-13,279049.55837880826
144,2020-06-14,299545.35631964565
145,2020-06-15,320041.1542604831
146,2020-06-16,340536.9522013205
147,2020-06-17,361032.7501421574
148,2020-06-18,381528.5480829949
149,2020-06-19,402024.3460238318
150,2020-06-20,422520.1439646692
151,2020-06-21,443015.9419055072
152,2020-06-22,463511.7398463441
153,2020-06-23,484007.5377871815
154,2020-06-24,504503.3357280184
155,2020-06-25,524999.1336688559
